id,title,original_title,original_language,language_name,release_date,release_year,release_month,decade,genres,primary_genre,num_genres,popularity,vote_average,vote_count,rating_tier,popularity_tier,budget,revenue,has_budget_data,has_revenue_data,profit,roi,runtime,primary_country,production_countries,num_spoken_languages,production_companies,overview_length,gdp_per_capita_usd,population,popularity_norm,vote_average_norm,vote_count_norm,budget_norm,revenue_norm,runtime_norm
155,The Dark Knight,The Dark Knight,en,English,2008-07-16,2008,7,2000,Action|Thriller|Crime,Action,3,53.0744,8.535,36699,Excellent,Very High,185000000.0,1004558444.0,True,True,819558444.0,4.430045643243243,152.0,GB,GB|US,2,Warner Bros. Pictures|Legendary Pictures|Syncopy|DC,67,47652.4030691881,61806995,0.6446468761573744,0.9436170212765956,0.8915946965089405,0.2808135033278716,0.34359078186102676,0.5836734693877551
671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,en,English,2001-11-16,2001,11,2000,Adventure|Fantasy,Adventure,2,52.3679,7.903,30228,Good,Very High,125000000.0,1029374615.0,True,True,904374615.0,7.23499692,152.0,GB,GB|US,1,Warner Bros. Pictures|Heyday Films|1492 Pictures,70,28013.8729635508,59119673,0.634583060311672,0.8091489361702126,0.734168592628634,0.1897388097856012,0.35207869782751916,0.5836734693877551
27205,Inception,Inception,en,English,2010-07-15,2010,7,2010,Action|Science Fiction|Adventure,Action,3,51.6206,8.373,40183,Excellent,Very High,160000000.0,839030630.0,True,True,679030630.0,4.2439414375,148.0,GB,GB|US,4,Warner Bros. Pictures,44,39778.3220528565,62766365,0.6239380644426086,0.9091489361702125,0.9763532416980902,0.24286571435192558,0.2869750301663281,0.5673469387755102
603,The Matrix,The Matrix,en,English,1999-03-31,1999,3,1990,Action|Science Fiction,Action,2,50.5808,8.258,28721,Excellent,Very High,63000000.0,463517383.0,True,True,400517383.0,6.357418777777778,136.0,US,US,1,Village Roadshow Pictures|Groucho II Film Partnership|Silver Pictures|Warner Bros. Pictures,32,34515.3813073394,279040000,0.6091265206119485,0.8846808510638294,0.697506386084418,0.09562829312525514,0.1585376139009139,0.5183673469387755
533535,Deadpool & Wolverine,Deadpool & Wolverine,en,English,2024-07-24,2024,7,2020,Action|Comedy|Science Fiction,Action,3,49.2066,7.588,9448,Good,Very High,200000000.0,1338073645.0,True,True,1138073645.0,5.690368225,128.0,US,US,1,Marvel Studios|Maximum Effort|21 Laps Entertainment|20th Century Studios|Kevin Feige Productions|TSG Entertainment,39,86169.6641581917,340003797,0.5895515797270734,0.742127659574468,0.22863398613307384,0.3035821767134392,0.4576635370671308,0.4857142857142857
872585,Oppenheimer,Oppenheimer,en,English,2023-07-19,2023,7,2020,Drama|History,Drama,2,47.2313,8.0,12474,Good,Very High,100000000.0,952000000.0,True,True,852000000.0,8.52,181.0,GB,GB|US,2,Syncopy|Universal Pictures|Atlas Entertainment|Breakheart Films|Peters Creek Entertainment,18,49919.6896621586,68526000,0.5614142047235121,0.8297872340425531,0.3022503345091838,0.1517910208096552,0.3256141304267021,0.7020408163265306
315635,Spider-Man: Homecoming,Spider-Man: Homecoming,en,English,2017-07-05,2017,7,2010,Action|Adventure|Science Fiction,Action,3,47.1724,7.332,23900,Good,Very High,175000000.0,880978185.0,True,True,705978185.0,4.034161057142857,133.0,US,US,1,Marvel Studios|Pascal Pictures|LStar Capital|Columbia Pictures,50,60047.7190728307,326608609,0.5605751972878267,0.687659574468085,0.5802213842598224,0.2656343877374932,0.3013224217054909,0.5061224489795918
569094,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,en,English,2023-05-31,2023,5,2020,Animation|Action|Adventure|Science Fiction,Animation,4,45.7956,8.349,9240,Excellent,Very High,100000000.0,690897910.0,True,True,590897910.0,5.9089791,140.0,US,US,4,Columbia Pictures|Sony Pictures Animation|Lord Miller|Pascal Pictures|Arad Productions|Marvel Entertainment,65,82586.7847707894,336755052,0.5409632204210707,0.9040425531914893,0.22357377447999027,0.1517910208096552,0.23630895121128115,0.5346938775510204
49494,The Eagle,The Eagle,en,English,2011-02-08,2011,2,2010,Adventure|Drama,Adventure,2,45.5239,6.247,1472,Mixed,Very High,25000000.0,27122040.0,True,True,2122040.0,0.0848816,114.0,US,US,1,Prime Focus|Toledo Productions|Focus Features|Twins Financing|Film4 Productions,85,50024.8812320773,311839461,0.5370929603145209,0.4568085106382978,0.03459433158983092,0.037947653881817235,0.009276593755919616,0.42857142857142855
324857,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,en,English,2018-12-06,2018,12,2010,Animation|Action|Adventure|Science Fiction,Animation,4,45.3131,8.4,17864,Excellent,Very High,90000000.0,394884133.0,True,True,304884133.0,3.387601477777778,117.0,US,US,3,Columbia Pictures|Lord Miller|Pascal Pictures|Sony Pictures Animation|Arad Productions|Marvel Entertainment,69,62875.6661382728,328529577,0.5340901968604883,0.9148936170212766,0.4333779345578397,0.13661190521927682,0.1350628700128554,0.44081632653061226
1184918,The Wild Robot,The Wild Robot,en,English,2024-09-12,2024,9,2020,Family|Animation|Science Fiction|Adventure,Family,4,43.8595,8.306,6595,Excellent,Very High,78000000.0,331982078.0,True,True,253982078.0,3.256180487179487,102.0,US,US,1,DreamWorks Animation,32,86169.6641581917,340003797,0.5133842340674055,0.8948936170212763,0.15922637148765356,0.11839696651082274,0.113548376219285,0.3795918367346939
557,Spider-Man,Spider-Man,en,English,2002-05-01,2002,5,2000,Action|Science Fiction,Action,2,43.4797,7.354,21421,Good,Very High,139000000.0,821708551.0,True,True,682708551.0,4.911572309352518,121.0,US,US,1,Marvel Enterprises|Laura Ziskin Productions|Columbia Pictures,30,37997.7424300242,287625193,0.5079741317911171,0.6923404255319149,0.5199124194136966,0.21098957161213094,0.2810503308677561,0.45714285714285713
693134,Dune: Part Two,Dune: Part Two,en,English,2024-02-27,2024,2,2020,Science Fiction|Adventure,Science Fiction,2,43.348,8.135,8551,Excellent,Very High,190000000.0,714844358.0,True,True,524844358.0,2.7623387263157895,167.0,US,US,1,Legendary Pictures,55,86169.6641581917,340003797,0.5060981168627674,0.8585106382978722,0.20681182337915097,0.2884030611230608,0.24449939438319432,0.6448979591836734
129,Spirited Away,千と千尋の神隠し,ja,Japanese,2001-07-20,2001,7,2000,Animation|Family|Fantasy,Animation,3,39.9764,8.535,18897,Excellent,Very High,19000000.0,274925095.0,True,True,255925095.0,13.469741842105263,125.0,JP,JP,1,Studio Ghibli|Tokuma Shoten|Nippon Television Network Corporation|Mitsubishi|dentsu|TFC|The Walt Disney Company (Japan),35,34910.166403687,127149000,0.4580709951283439,0.9436170212765956,0.45850869723877874,0.0288401845275902,0.0940330820586514,0.47346938775510206
550,Fight Club,Fight Club,en,English,1999-10-15,1999,10,1990,Drama|Thriller,Drama,2,39.5328,8.437,32861,Excellent,Very High,63000000.0,100853753.0,True,True,37853753.0,0.6008532222222223,139.0,DE,DE|US,1,Fox 2000 Pictures|Regency Enterprises|Linson Entertainment|20th Century Fox|Taurus Film,45,26965.4922773722,82100243,0.45175208683513296,0.9227659574468082,0.7982240603332927,0.09562829312525514,0.034495173367155144,0.5306122448979592
496243,Parasite,기생충,ko,Korean,2019-05-30,2019,5,2010,Comedy|Thriller|Drama,Comedy,3,39.3225,8.49,21307,Excellent,Very High,11363000.0,257591776.0,True,True,246228776.0,21.669345771363197,133.0,KR,KR,3,Barunson E&A,24,33826.9443301597,51764822,0.4487564456853081,0.9340425531914893,0.5171390341807566,0.01724789395121822,0.08810453832430955,0.5061224489795918
